Complaint,Category,,,,,
The good looks nothing like the online photo on the site.,Product Integrity & Accuracy,,,,,
the subscription price increased without my permission.,Subscriptions,,,,,
Tracking number track-990 is not updating for my purchase.,Delivery,,,,,
I think my profile has been stolen or breached.,Security and Privacy,,,,,
the product I received is cracked and shattered.,Product Integrity & Accuracy,,,,,
How do I start a exchange for a item I don't want?,Refund & Returns,,,,,
"Hello, how do I link my Google to my membership?",Account & Profile Management,,,,,
can I change my login ID on the platform?,Account & Profile Management,,,,,
my membership benefits are not working correctly.,Subscriptions,,,,,
i want to send back my request for a full reimbursement.,Refund & Returns,,,,,
Why is the voucher code out of date when it should be valid?,Promotions,,,,,
"Hi, i am unable to access my basket due to a server system crash!",Technical Issues,,,,,
the merchandise was discontinued right after I purchased it.,Inventory,,,,,
the storefront keeps bugging out whenever I try to place an order.,Technical Issues,,,,,
Is this item a limited batch or will more be produced?,Inventory,,,,,
"I haven't received my shipment yet, although the delivery update says delivered.",Delivery,,,,,
my data usage settings are not working as expected.,Security and Privacy,,,,,
i noticed a sign-in from a sorting center I don't recognize.,Security and Privacy,,,,,
The courier was supposed to deliver my request yesterday but it's late.,Delivery,,,,,
"Hello, I signed up for the welcome gift but never received it!",Promotions,,,,,
my coupon is not applying to my order!,Promotions,,,,,
I want to close my profile permanently.,Account & Profile Management,,,,,
I need to update my home address for all future orders.,Account & Profile Management,,,,,
Where is my box? The delivery tracking says it is local depot.,Delivery,,,,,
"Hello, i noticed a access from a warehouse I don't recognize.",Security and Privacy,,,,,
"Excuse me, i was billed twice for my recent purchase.",Billing & Transaction Problems,,,,,
i need to change my credentials immediately.,Security and Privacy,,,,,
"Hi, tracking number ID #8822 is not updating for my purchase!",Delivery,,,,,
the reimbursement amount I received is less than what I paid.,Refund & Returns,,,,,
my request held up and it hasn't arrived yet.,Delivery,,,,,
i cannot find where to adjust my personal details!,Account & Profile Management,,,,,
"I'm sorry, but This article seems to be a used unit instead of new.",Product Integrity & Accuracy,,,,,
"Hi, I can't modify my contact number on the account settings.",Account & Profile Management,,,,,
my debit card was charged the wrong amount.,Billing & Transaction Problems,,,,,
tracking number track-990 is not updating for my request.,Delivery,,,,,
i can't place an order because the website is too slow!,Technical Issues,,,,,
The service plan cost increased without my consent!,Subscriptions,,,,,
i am unable to access my shopping cart due to a server error!,Technical Issues,,,,,
i haven't received my reimbursement yet for the shipped back item.,Refund & Returns,,,,,
"Excuse me, Can you check inventory in the different transit?",Inventory,,,,,
My request has been out for delivery for three days now!,Delivery,,,,,
"Hi, i want to delete my profile permanently!",Account & Profile Management,,,,,
the online shop keeps bugging out whenever I try to view my cart!,Technical Issues,,,,,
"Hi, can you apply this saving manually to my transaction?",Promotions,,,,,
"Hello, Can I change my login ID on the website?",Account & Profile Management,,,,,
"I'm sorry, but Can I get a reimbursement if the box was never sent?",Refund & Returns,,,,,
"I'm sorry, but I was invoiced twice for my recent request.",Billing & Transaction Problems,,,,,
internal server failure is preventing me from finishing my log in.,Technical Issues,,,,,
"Excuse me, i need a return label for my package.",Refund & Returns,,,,,
"Hi, I didn't get the bonus with my transaction.",Promotions,,,,,
i want to change my frequency from monthly to yearly.,Subscriptions,,,,,
My transaction stuck and it hasn't arrived yet!,Delivery,,,,,
The online shop is not encrypted and I am worried about my data!,Security and Privacy,,,,,
I was invoiced twice for my recent purchase.,Billing & Transaction Problems,,,,,
"I'm sorry, but How do I suspend my access for a few months?",Subscriptions,,,,,
someone made an unauthorized order using my profile!,Security and Privacy,,,,,
I need a return slip for my package!,Refund & Returns,,,,,
i am unable to access my basket due to a server error!,Technical Issues,,,,,
i need to reset my passcode immediately.,Security and Privacy,,,,,
why is the availability count count mismatched on the page?,Inventory,,,,,
"Excuse me, the storefront says ready but it's actually on waiting list.",Inventory,,,,,
The item I got is expired and cannot be used!,Product Integrity & Accuracy,,,,,
"I'm sorry, but the friend link credit was not added to my account!",Promotions,,,,,
"Excuse me, i requested a money back a week ago and haven't heard back.",Refund & Returns,,,,,
"I'm sorry, but I want to merge two logins that I have.",Account & Profile Management,,,,,
The good was stopped right after I bought it!,Inventory,,,,,
i need to modify my delivery location for all future orders.,Account & Profile Management,,,,,
Part of the kit is missing from the package.,Product Integrity & Accuracy,,,,,
"Hi, I requested a money back a week ago and haven't heard back!",Refund & Returns,,,,,
i cannot find where to manage my personal info.,Account & Profile Management,,,,,
"Excuse me, I see a mystery fee from your site on my bank statement.",Billing & Transaction Problems,,,,,
"I'm sorry, but i haven't received my reimbursement yet for the shipped back item.",Refund & Returns,,,,,
i want to use my store credit for this buy!,Promotions,,,,,
Can you check quantity in the different transit?,Inventory,,,,,
my discount code is not applying to my transaction.,Promotions,,,,,
This deal is very misleading.,Promotions,,,,,
the currency conversion for my checkout seems incorrect.,Billing & Transaction Problems,,,,,
the membership total amount increased without my consent.,Subscriptions,,,,,
the membership price increased without my knowledge.,Subscriptions,,,,,
I was invoiced twice for my recent transaction.,Billing & Transaction Problems,,,,,
The merchandise looks nothing like the online photo on the storefront.,Product Integrity & Accuracy,,,,,
i want to merge two logins that I have!,Account & Profile Management,,,,,
i haven't received my reimbursement yet for the returned item.,Refund & Returns,,,,,
I was notified that the article is unavailable after I completed payment.,Inventory,,,,,
I was billed twice for my recent order!,Billing & Transaction Problems,,,,,
I noticed a sign-in from a transit I don't recognize.,Security and Privacy,,,,,
the discount promised in the newsletter is not working.,Promotions,,,,,
"I'm sorry, but I want to exchange my merchandise for a different size.",Refund & Returns,,,,,
i am unable to access my basket due to a server failure.,Technical Issues,,,,,
I didn't get the bonus with my request.,Promotions,,,,,
Can you check quantity in the different local depot?,Inventory,,,,,
I need an update on my package transit status!,Delivery,,,,,
"Hi, the good was retired right after I ordered it.",Inventory,,,,,
the screen times out every time I refresh it.,Technical Issues,,,,,
i think my membership has been compromised or leaked.,Security and Privacy,,,,,
"Excuse me, I want to use my loyalty points for this acquisition.",Promotions,,,,,
The daily deal prices are not showing up in my bag!,Promotions,,,,,
"I'm sorry, but My transaction delayed and it hasn't arrived yet.",Delivery,,,,,
The discount promised in the newsletter is not working.,Promotions,,,,,
"Hi, I can't view my cart because the site is too slow.",Technical Issues,,,,,
"Excuse me, why is the stock count mismatched on the UI?",Inventory,,,,,
the stock level status changed from in stock to unavailable suddenly.,Inventory,,,,,
"Hello, i see a unknown deduction from your site on my bank statement.",Billing & Transaction Problems,,,,,
The price at checkout didn't match the price on the product page.,Billing & Transaction Problems,,,,,
I want to merge two accounts that I have!,Account & Profile Management,,,,,
i think my membership has been stolen or compromised.,Security and Privacy,,,,,
I noticed a login from a local depot I don't recognize!,Security and Privacy,,,,,
Can I get a trial for your service?,Subscriptions,,,,,
why is there an extra extra charge on my invoice?,Billing & Transaction Problems,,,,,
"I'm sorry, but Is there a delay with delivery to my area?",Delivery,,,,,
the merchandise looks nothing like the picture on the website.,Product Integrity & Accuracy,,,,,
i want to be sent an email when this item is in quantity again.,Inventory,,,,,
i want to be sent an email when this item is in inventory again.,Inventory,,,,,
i can't modify my contact number on the profile settings.,Account & Profile Management,,,,,
Why is the coupon code old when it should be valid?,Promotions,,,,,
i haven't received a confirmation for my transaction.,Billing & Transaction Problems,,,,,
"Hello, I received the wrong size for the item I ordered!",Product Integrity & Accuracy,,,,,
"I'm sorry, but I'm getting a connection error when I click the submit button.",Technical Issues,,,,,
"I'm sorry, but My data usage settings are not working as expected.",Security and Privacy,,,,,
"I'm sorry, but My payment method was charged the wrong amount.",Billing & Transaction Problems,,,,,
"I'm sorry, but tracking number ID #8822 is not updating for my purchase.",Delivery,,,,,
My coupon is not applying to my transaction.,Promotions,,,,,
Can you apply this price reduction manually to my buy?,Promotions,,,,,
"Excuse me, I haven't received my reimbursement yet for the returned item.",Refund & Returns,,,,,
why is the coupon code expired when it should be valid?,Promotions,,,,,
I want to request a copy of all the data you have on me.,Security and Privacy,,,,,
I think my membership has been hacked or breached.,Security and Privacy,,,,,
the item I got is expired and cannot be used.,Product Integrity & Accuracy,,,,,
someone made an illegal buy using my profile.,Security and Privacy,,,,,
I received the incorrect size for the product I ordered!,Product Integrity & Accuracy,,,,,
"I'm sorry, but is there a delay with delivery to my area?",Delivery,,,,,
the good I received is cracked and smashed.,Product Integrity & Accuracy,,,,,
"Hi, why was my personal data shared with a third party without permission?",Security and Privacy,,,,,
"Hello, why is the coupon code expired when it should be valid?",Promotions,,,,,
i cannot find where to edit my personal data.,Account & Profile Management,,,,,
why was my personal data shared with a third party without agreement?,Security and Privacy,,,,,
"Hi, How do I edit my marketing mail in my profile?",Account & Profile Management,,,,,
"I'm sorry, but Why is the availability count count mismatched on the page?",Inventory,,,,,
"Hello, the flash sale prices are not showing up in my bag.",Promotions,,,,,
My service plan perks are not working correctly!,Subscriptions,,,,,
"I haven't received my box yet, although the status says delivered.",Delivery,,,,,
"Hello, can you explain this billing error on my account?",Billing & Transaction Problems,,,,,
my preferences are not saving after I edit them.,Account & Profile Management,,,,,
"Hello, the flash sale prices are not showing up in my shopping cart.",Promotions,,,,,
i opened the box and the product was missing.,Product Integrity & Accuracy,,,,,
i want to delete my profile permanently!,Account & Profile Management,,,,,
I didn't get a notification before my renewal charge!,Subscriptions,,,,,
"Hello, My auto-renew is turned off but I was still billed.",Subscriptions,,,,,
the merchandise stopped working after only one day of use!,Product Integrity & Accuracy,,,,,
i think my membership has been compromised or compromised.,Security and Privacy,,,,,
"Hello, I received the mismatched size for the product I ordered.",Product Integrity & Accuracy,,,,,
"I'm sorry, but Can you apply this price reduction manually to my transaction?",Promotions,,,,,
the forex conversion for my transaction seems incorrect.,Billing & Transaction Problems,,,,,
"Hello, the build of this merchandise is very poor compared to the description.",Product Integrity & Accuracy,,,,,
i want to upgrade my tier to the premium level!,Subscriptions,,,,,
I didn't get a notice before my extension charge.,Subscriptions,,,,,
I want to end my monthly subscription.,Subscriptions,,,,,
I can't update my contact number on the profile settings.,Account & Profile Management,,,,,
there is a glitch in the software's latest update.,Technical Issues,,,,,
"Hello, I want to ask for a copy of all the personal data you have on me.",Security and Privacy,,,,,
i think my profile has been stolen or leaked.,Security and Privacy,,,,,
Part of the kit is not in the box from the package.,Product Integrity & Accuracy,,,,,
The gadget I bought won't turn on.,Product Integrity & Accuracy,,,,,
i opened the packaging and the item was not in the box.,Product Integrity & Accuracy,,,,,
My preferences are not saving after I refresh them.,Account & Profile Management,,,,,
The merchandise was retired right after I purchased it!,Inventory,,,,,
"Excuse me, I haven't received my money back yet for the returned item.",Refund & Returns,,,,,
The merchandise stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
I need a breakdown of the fees on my latest billing history.,Billing & Transaction Problems,,,,,
Your terms of service says I have 30 days to return this.,Refund & Returns,,,,,
i keep getting weird emails claiming to be from you!,Security and Privacy,,,,,
How do I start a return for a good I don't want?,Refund & Returns,,,,,
"I haven't received my parcel yet, although the delivery update says delivered.",Delivery,,,,,
"Excuse me, There is a technical issue in the application's latest update.",Technical Issues,,,,,
The submit button on the cart page is not working.,Technical Issues,,,,,
The friend link credit was not added to my account.,Promotions,,,,,
the online shop keeps crashing whenever I try to place an order.,Technical Issues,,,,,
why is my delivery held up in local depot?,Delivery,,,,,
I was billed twice for my recent transaction.,Billing & Transaction Problems,,,,,
"I'm sorry, but I was told that the product is out of supply after I completed payment!",Inventory,,,,,
I want to improve my plan to the VIP level!,Subscriptions,,,,,
"Hello, the exchange rate conversion for my transaction seems incorrect.",Billing & Transaction Problems,,,,,
The submit button on the checkout page is not working.,Technical Issues,,,,,
I want to scale up my level to the pro level!,Subscriptions,,,,,
the daily deal prices are not showing up in my bag!,Promotions,,,,,
the online shop keeps crashing whenever I try to view my cart!,Technical Issues,,,,,
Why is the code code out of date when it should be valid?,Promotions,,,,,
The quality of this merchandise is very poor compared to the description!,Product Integrity & Accuracy,,,,,
I haven't received a confirmation for my buy.,Billing & Transaction Problems,,,,,
"Hello, internal server failure is preventing me from finishing my view my cart!",Technical Issues,,,,,
"I'm sorry, but someone made an fraudulent acquisition using my account.",Security and Privacy,,,,,
i opened the box and the article was gone.,Product Integrity & Accuracy,,,,,
my membership features are not working correctly.,Subscriptions,,,,,
My transaction was declined but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
"I'm sorry, but i need a return label for my package.",Refund & Returns,,,,,
I haven't received a confirmation for my transaction.,Billing & Transaction Problems,,,,,
I'm getting a 404 error when I click the order button.,Technical Issues,,,,,
Why was I billed for a subscription I already ended?,Subscriptions,,,,,
I'm getting a 500 error when I click the submit button.,Technical Issues,,,,,
"I'm sorry, but when will this unit be back in the fulfillment center?",Inventory,,,,,
the merchandise is unavailable and I need to know when it will be restocked!,Inventory,,,,,
The material of this item is very poor compared to the description.,Product Integrity & Accuracy,,,,,
my name is spelled incorrectly on my account details.,Account & Profile Management,,,,,
"Excuse me, can you explain this billing error on my account?",Billing & Transaction Problems,,,,,
"I'm sorry, but Someone made an unauthorized acquisition using my profile.",Security and Privacy,,,,,
there is a glitch in the mobile app's latest update!,Technical Issues,,,,,
"Hello, The application is stuck on the processing screen forever.",Technical Issues,,,,,
The online shop is not encrypted and I am worried about my data.,Security and Privacy,,,,,
I want to request a copy of all the private info you have on me.,Security and Privacy,,,,,
"Hi, Part of the bundle is gone from the package.",Product Integrity & Accuracy,,,,,
The discount promised in the email is not working.,Promotions,,,,,
I want to use my reward credits for this acquisition.,Promotions,,,,,
My credit card was charged the wrong amount!,Billing & Transaction Problems,,,,,
i cannot find where to manage my personal data.,Account & Profile Management,,,,,
part of the bundle is missing from the package.,Product Integrity & Accuracy,,,,,
"Excuse me, The website keeps crashing whenever I try to view my cart.",Technical Issues,,,,,
i want to enable multi-factor authentication for better protection!,Security and Privacy,,,,,
the item I received is broken and shattered.,Product Integrity & Accuracy,,,,,
I can't place an order because the website is too slow.,Technical Issues,,,,,
i didn't get a notice before my renewal charge.,Subscriptions,,,,,
the good is unavailable and I need to know when it will be restocked.,Inventory,,,,,
When will this product be back in the stockroom?,Inventory,,,,,
the friend link credit was not added to my membership.,Promotions,,,,,
"Hi, The subscription cost increased without my consent.",Subscriptions,,,,,
the money back amount I received is less than what I paid.,Refund & Returns,,,,,
My debit card was charged the wrong amount.,Billing & Transaction Problems,,,,,
There is a billing mismatch on my monthly statement.,Technical Issues,,,,,
"Hello, my coupon is not applying to my purchase.",Promotions,,,,,
I want to switch my frequency from annual to yearly.,Subscriptions,,,,,
"Excuse me, I want to enable multi-factor authentication for better protection.",Security and Privacy,,,,,
the UI times out every time I refresh it!,Technical Issues,,,,,
"Excuse me, i keep getting weird emails claiming to be from you.",Security and Privacy,,,,,
Why was I charged twice for one subscription?,Billing & Transaction Problems,,,,,
"Excuse me, i requested a reimbursement a week ago and haven't heard back.",Refund & Returns,,,,,
the friend link credit was not added to my profile.,Promotions,,,,,
Can you explain this account charges error on my account?,Billing & Transaction Problems,,,,,
I am unable to access my basket due to a server failure!,Technical Issues,,,,,
i opened the packaging and the unit was not in the box.,Product Integrity & Accuracy,,,,,
i want to scale up my tier to the VIP level.,Subscriptions,,,,,
I want to exchange my order for a full money back.,Refund & Returns,,,,,
"I'm sorry, but the good I received is broken and non-functional.",Product Integrity & Accuracy,,,,,
The total amount at checkout didn't match the total amount on the product page.,Billing & Transaction Problems,,,,,
"Excuse me, my auto-renew is turned off but I was still invoiced!",Subscriptions,,,,,
i received the wrong size for the item I ordered!,Product Integrity & Accuracy,,,,,
The good was discontinued right after I bought it.,Inventory,,,,,
The item looks nothing like the picture on the site.,Product Integrity & Accuracy,,,,,
I need a postage label for my package.,Refund & Returns,,,,,
"The return process is too complicated, I need assistance.",Refund & Returns,,,,,
"I'm sorry, but my transaction was rejected but the money was deducted from my bank.",Billing & Transaction Problems,,,,,
I keep getting scammy emails claiming to be from you.,Security and Privacy,,,,,
I want to exchange my good for a different size.,Refund & Returns,,,,,
I opened the container and the unit was missing.,Product Integrity & Accuracy,,,,,
Why is my shipment delayed in local depot?,Delivery,,,,,
I want to upgrade my tier to the VIP level.,Subscriptions,,,,,
i want to enable two-factor authentication for better protection!,Security and Privacy,,,,,
This item seems to be a refurbished unit instead of new.,Product Integrity & Accuracy,,,,,
this item seems to be a refurbished unit instead of new.,Product Integrity & Accuracy,,,,,
"Hello, i want to upgrade my level to the premium level.",Subscriptions,,,,,
"Hello, I want to enable 2FA authentication for better protection!",Security and Privacy,,,,,
"Hello, The online shop keeps bugging out whenever I try to place an order.",Technical Issues,,,,,
The delivery driver was supposed to deliver my transaction yesterday but it's late!,Delivery,,,,,
The mobile app is stuck on the loading screen forever.,Technical Issues,,,,,
the product looks nothing like the advertised image on the website.,Product Integrity & Accuracy,,,,,
"I'm sorry, but why is there an extra fee on my bill?",Billing & Transaction Problems,,,,,
the subscription price increased without my consent.,Subscriptions,,,,,
why is the code code out of date when it should be valid?,Promotions,,,,,
i want to cancel my annual service plan.,Subscriptions,,,,,
the forex conversion for my checkout seems incorrect!,Billing & Transaction Problems,,,,,
can you explain this payment error on my account?,Billing & Transaction Problems,,,,,
"I'm sorry, but I didn't get the freebie with my transaction.",Promotions,,,,,
My membership benefits are not working correctly!,Subscriptions,,,,,
"Hello, Where is my package? The tracking link says it is local depot!",Delivery,,,,,
why is the stock count wrong on the screen?,Inventory,,,,,
i was notified that the item is unavailable after I completed payment.,Inventory,,,,,
I want to use my loyalty points for this acquisition.,Promotions,,,,,
why is my mailing stuck in warehouse?,Delivery,,,,,
the platform is not displaying images properly.,Technical Issues,,,,,
the build of this merchandise is very poor compared to the description!,Product Integrity & Accuracy,,,,,
"I'm sorry, but I want to exchange my item for a different size.",Refund & Returns,,,,,
"Hi, Can you explain this billing error on my account?",Billing & Transaction Problems,,,,,
Can you check stock in the other warehouse?,Inventory,,,,,
i want to delete my membership permanently.,Account & Profile Management,,,,,
i need a postage label for my package.,Refund & Returns,,,,,
i want to use my reward credits for this order.,Promotions,,,,,
"I'm sorry, but I need to change my passcode immediately!",Security and Privacy,,,,,
"Hi, My privacy settings are not working as expected.",Security and Privacy,,,,,
my notifs are not saving after I update them.,Account & Profile Management,,,,,
i requested a refund a week ago and haven't heard back!,Refund & Returns,,,,,
"I'm sorry, but is this unit a limited edition or will more be manufactured?",Inventory,,,,,
the site says available but it's actually on waiting list.,Inventory,,,,,
can I get a refund if the box was never sent?,Refund & Returns,,,,,
The website says ready but it's actually on pre-order.,Inventory,,,,,
why is the voucher code old when it should be valid?,Promotions,,,,,
i opened the box and the unit was gone.,Product Integrity & Accuracy,,,,,
i was invoiced twice for my recent purchase!,Billing & Transaction Problems,,,,,
"Hi, I want to merge two accounts that I have.",Account & Profile Management,,,,,
"I'm sorry, but I noticed a access from a sorting center I don't recognize!",Security and Privacy,,,,,
The limited offer prices are not showing up in my basket!,Promotions,,,,,
The site says available but it's actually on waiting list.,Inventory,,,,,
the referral credit was not added to my profile!,Promotions,,,,,
someone made an unauthorized acquisition using my membership!,Security and Privacy,,,,,
I want to enable 2FA authentication for better protection.,Security and Privacy,,,,,
I keep getting weird emails claiming to be from you!,Security and Privacy,,,,,
why is my shipment held up in warehouse?,Delivery,,,,,
i was notified that the item is out of supply after I paid.,Inventory,,,,,
I can't view my cart because the website is too slow.,Technical Issues,,,,,
"I'm sorry, but When will this product be back in the warehouse?",Inventory,,,,,
The storefront keeps bugging out whenever I try to view my cart.,Technical Issues,,,,,
"Excuse me, i didn't get the freebie with my request.",Promotions,,,,,
the delivery driver lost my parcel and I need help.,Delivery,,,,,
The status status changed from in stock to gone suddenly!,Inventory,,,,,
my payment was rejected but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
My payment was declined but the money was deducted from my bank!,Billing & Transaction Problems,,,,,
"Hello, I didn't get the freebie with my purchase.",Promotions,,,,,
i want to return my request for a full refund.,Refund & Returns,,,,,
i can't change my mobile on the account settings.,Account & Profile Management,,,,,
There is a glitch in the mobile app's latest update.,Technical Issues,,,,,
I want to return my purchase for a full refund!,Refund & Returns,,,,,
Is this item a limited edition or will more be produced?,Inventory,,,,,
I haven't received a payment proof for my buy!,Billing & Transaction Problems,,,,,
"I'm sorry, but i want to ask for a copy of all the personal data you have on me.",Security and Privacy,,,,,
I want to use my loyalty points for this buy!,Promotions,,,,,
How do I suspend my membership for a few months?,Subscriptions,,,,,
"Hi, The limited offer prices are not showing up in my shopping cart!",Promotions,,,,,
the page times out every time I refresh it.,Technical Issues,,,,,
How do I link my Google to my account?,Account & Profile Management,,,,,
My promo code is not applying to my request.,Promotions,,,,,
"I'm sorry, but the item looks nothing like the picture on the online shop.",Product Integrity & Accuracy,,,,,
i need an update on my shipment transit status!,Delivery,,,,,
the storefront keeps crashing whenever I try to view my cart!,Technical Issues,,,,,
The invite credit was not added to my membership!,Promotions,,,,,
the exchange rate conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
"Hello, I need to update my shipping address for all future orders.",Account & Profile Management,,,,,
How do I pause my access for a few months?,Subscriptions,,,,,
"Hello, The product stopped working after only one day of use!",Product Integrity & Accuracy,,,,,
The exchange rate conversion for my payment seems incorrect!,Billing & Transaction Problems,,,,,
"Hello, i haven't received my package yet, although the status says delivered.",Delivery,,,,,
"I'm sorry, but i can't modify my mobile on the account settings.",Account & Profile Management,,,,,
"Hello, the good looks nothing like the advertised image on the site!",Product Integrity & Accuracy,,,,,
"Hi, I want to enable 2FA authentication for better security.",Security and Privacy,,,,,
the good looks nothing like the advertised image on the storefront.,Product Integrity & Accuracy,,,,,
I signed up for the welcome gift but never received it.,Promotions,,,,,
The merchandise I received is cracked and smashed.,Product Integrity & Accuracy,,,,,
I haven't received my reimbursement yet for the shipped back item!,Refund & Returns,,,,,
"Hello, the website is not private and I am worried about my details.",Security and Privacy,,,,,
Why is there an extra surcharge on my receipt?,Billing & Transaction Problems,,,,,
"Hello, where is my package? The tracking link says it is transit.",Delivery,,,,,
"Excuse me, The storefront is not displaying images properly!",Technical Issues,,,,,
Is this item a limited version or will more be produced?,Inventory,,,,,
"Excuse me, I want to remove my account permanently.",Account & Profile Management,,,,,
I want to merge two logins that I have.,Account & Profile Management,,,,,
I need a breakdown of the charges on my latest billing history.,Billing & Transaction Problems,,,,,
"Hello, The software is stuck on the processing screen forever!",Technical Issues,,,,,
"I'm sorry, but the friend link credit was not added to my membership.",Promotions,,,,,
The good I received is damaged and smashed.,Product Integrity & Accuracy,,,,,
the courier lost my package and I need help.,Delivery,,,,,
My checkout was rejected but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
the website is not encrypted and I am worried about my details.,Security and Privacy,,,,,
"Hello, Can I change my username on the system?",Account & Profile Management,,,,,
"Excuse me, i want to switch my payment term from monthly to annual.",Subscriptions,,,,,
The order button on the cart page is not working.,Technical Issues,,,,,
"Hi, I received the incorrect size for the article I ordered!",Product Integrity & Accuracy,,,,,
My recurring charge is turned off but I was still charged.,Subscriptions,,,,,
can I get a refund if the package was never sent?,Refund & Returns,,,,,
"Hello, The item is unavailable and I need to know when it will be replenished.",Inventory,,,,,
"Hello, i received the mismatched size for the product I ordered.",Product Integrity & Accuracy,,,,,
I can't change my mobile on the profile settings.,Account & Profile Management,,,,,
I want to delete my membership permanently!,Account & Profile Management,,,,,
the merchandise is sold out and I need to know when it will be replenished.,Inventory,,,,,
The friend link credit was not added to my account!,Promotions,,,,,
i didn't get a alert before my re-up charge.,Subscriptions,,,,,
this item seems to be a pre-owned unit instead of new.,Product Integrity & Accuracy,,,,,
why was my data shared with a third party without consent?,Security and Privacy,,,,,
My automatic payment is turned off but I was still charged.,Subscriptions,,,,,
"Excuse me, I need a return label for my parcel!",Refund & Returns,,,,,
The quality of this product is very poor compared to the description.,Product Integrity & Accuracy,,,,,
I received the wrong size for the unit I ordered.,Product Integrity & Accuracy,,,,,
"I'm sorry, but The reimbursement amount I received is less than what I paid!",Refund & Returns,,,,,
Your terms of service says I have 30 days to exchange this.,Refund & Returns,,,,,
i want to improve my plan to the VIP level.,Subscriptions,,,,,
"I'm sorry, but The item is sold out and I need to know when it will be back in stock.",Inventory,,,,,
the saving promised in the marketing mail is not working!,Promotions,,,,,
how do I hold my membership for a few months?,Subscriptions,,,,,
the currency conversion for my payment seems incorrect!,Billing & Transaction Problems,,,,,
"Hello, i didn't get a alert before my renewal charge.",Subscriptions,,,,,
"Hello, I want to merge two logins that I have.",Account & Profile Management,,,,,
I cannot find where to adjust my personal data.,Account & Profile Management,,,,,
I want to enable 2FA authentication for better safety.,Security and Privacy,,,,,
my recurring charge is turned off but I was still billed!,Subscriptions,,,,,
I received the wrong size for the item I ordered!,Product Integrity & Accuracy,,,,,
The price reduction promised in the email is not working.,Promotions,,,,,
i want to delete my profile permanently.,Account & Profile Management,,,,,
"I'm sorry, but why is the availability count count incorrect on the page?",Inventory,,,,,
The delivery driver lost my box and I need help.,Delivery,,,,,
Part of the set is missing from the package.,Product Integrity & Accuracy,,,,,
I need an update on my parcel transit status!,Delivery,,,,,
can I change my username on the website?,Account & Profile Management,,,,,
i didn't get the free gift with my request!,Promotions,,,,,
i can't log in because the website is too slow!,Technical Issues,,,,,
I want to convert my payment term from recurring to annual.,Subscriptions,,,,,
someone made an illegal order using my account.,Security and Privacy,,,,,
"Excuse me, I want to exchange my purchase for a full money back!",Refund & Returns,,,,,
"Excuse me, I want to use my store credit for this order.",Promotions,,,,,
I want to obtain a copy of all the personal data you have on me.,Security and Privacy,,,,,
I'm getting a 404 error when I click the submit button!,Technical Issues,,,,,
I noticed a access from a local depot I don't recognize.,Security and Privacy,,,,,
the limited offer prices are not showing up in my basket.,Promotions,,,,,
"I'm sorry, but Part of the bundle is gone from the box.",Product Integrity & Accuracy,,,,,
"Hello, the reimbursement amount I received is less than what I paid.",Refund & Returns,,,,,
"Excuse me, why was I billed for a subscription I already terminated?",Subscriptions,,,,,
The product was stopped right after I bought it.,Inventory,,,,,
i see a suspicious charge from your site on my bank statement.,Billing & Transaction Problems,,,,,
my order held up and it hasn't arrived yet.,Delivery,,,,,
"Hello, the price reduction promised in the marketing mail is not working.",Promotions,,,,,
"Hi, The courier lost my box and I need help.",Delivery,,,,,
this deal is very misleading.,Promotions,,,,,
"I'm sorry, but where is my package? The delivery tracking says it is local depot.",Delivery,,,,,
"I'm sorry, but i didn't get the bonus with my request.",Promotions,,,,,
This article seems to be a pre-owned unit instead of new.,Product Integrity & Accuracy,,,,,
I opened the box and the unit was gone.,Product Integrity & Accuracy,,,,,
"Hello, I cannot find where to manage my personal details.",Account & Profile Management,,,,,
"Excuse me, the courier lost my shipment and I need help.",Delivery,,,,,
can you apply this saving manually to my buy?,Promotions,,,,,
I want to be notified when this product is in quantity again.,Inventory,,,,,
"Hello, The gadget I bought won't turn on.",Product Integrity & Accuracy,,,,,
The merchandise stopped working after only one day of use!,Product Integrity & Accuracy,,,,,
"Excuse me, the good was retired right after I ordered it!",Inventory,,,,,
My auto-renew is turned off but I was still invoiced!,Subscriptions,,,,,
i want to be sent an email when this good is in quantity again.,Inventory,,,,,
the site is not secure and I am worried about my information!,Security and Privacy,,,,,
I'm getting a 500 error when I click the order button!,Technical Issues,,,,,
How do I start a return for a product I don't want?,Refund & Returns,,,,,
i want to send back my order for a full money back.,Refund & Returns,,,,,
part of the kit is not in the box from the shipment!,Product Integrity & Accuracy,,,,,
my discount code is not applying to my order.,Promotions,,,,,
I want to use my loyalty points for this order.,Promotions,,,,,
"Excuse me, I need a postage label for my parcel.",Refund & Returns,,,,,
The site is not encrypted and I am worried about my information.,Security and Privacy,,,,,
the merchandise was retired right after I ordered it.,Inventory,,,,,
the stock level status changed from in stock to gone suddenly.,Inventory,,,,,
I cannot find where to manage my personal data!,Account & Profile Management,,,,,
I cannot find where to adjust my personal data!,Account & Profile Management,,,,,
The currency conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
