Complaint,Category,Urgency,target
Handwritten message was illegible,Special Requests,Immediate,Special Requests | Immediate
Special occasion card was missing,Special Requests,Medium,Special Requests | Medium
Driver didn't follow gate code instructions,Special Requests,High,Special Requests | High
Personalized coordinates were inaccurate,Special Requests,Immediate,Special Requests | Immediate
Gift message arrived separately from package,Special Requests,Medium,Special Requests | Medium
'Perishable' stickers weren't used,Special Requests,High,Special Requests | High
Custom font request was substituted,Special Requests,Low,Special Requests | Low
Delivery left outside in rain despite garage option,Special Requests,Immediate,Special Requests | Immediate
Requested vegan packaging contained leather,Special Requests,Medium,Special Requests | Medium
Gift note was placed inside package,Special Requests,High,Special Requests | High
Signature required was bypassed,Special Requests,Immediate,Special Requests | Immediate
Personalized jewelry had wrong engraving,Special Requests,Medium,Special Requests | Medium
'Do not fold' instruction was ignored,Special Requests,High,Special Requests | High
Delivery came after recipient left town,Special Requests,Low,Special Requests | Low
Custom photo print was cropped wrong,Special Requests,Immediate,Special Requests | Immediate
Gift wrapping crushed delicate item,Special Requests,Medium,Special Requests | Medium
Driver left package with unauthorized person,Special Requests,High,Special Requests | High
Requested discreet packaging had logos,Special Requests,Immediate,Special Requests | Immediate
Hand-painted design didn't match sample,Special Requests,Medium,Special Requests | Medium
Gift message was on wrong language,Special Requests,High,Special Requests | High
Delivery instructions were cut off in app,Special Requests,Low,Special Requests | Low
Personalized text exceeded character limit silently,Special Requests,Immediate,Special Requests | Immediate
Special delivery window was missed,Special Requests,Medium,Special Requests | Medium
'This Side Up' sticker was missing,Special Requests,High,Special Requests | High
Custom embroidery had loose threads,Special Requests,Immediate,Special Requests | Immediate
Requested gift boxing was just tissue paper,Special Requests,Medium,Special Requests | Medium
Driver ignored 'leave with concierge',Special Requests,High,Special Requests | High
Personalized dates used wrong calendar,Special Requests,Low,Special Requests | Low
Gift receipt included return shipping cost,Special Requests,Immediate,Special Requests | Immediate
Delivery came during funeral requested to avoid,Special Requests,Medium,Special Requests | Medium
Handwritten note looked photocopied,Special Requests,High,Special Requests | High
Special instructions disappeared from order,Special Requests,Immediate,Special Requests | Immediate
Custom monogram had wrong initials,Special Requests,Medium,Special Requests | Medium
Requested signature confirmation was skipped,Special Requests,High,Special Requests | High
Gift message paper was see-through,Special Requests,Low,Special Requests | Low
Delivery left at wrong business entrance,Special Requests,Immediate,Special Requests | Immediate
Personalized engraving had typos,Special Requests,Medium,Special Requests | Medium
'Fragile - Glass' marking was missing,Special Requests,High,Special Requests | High
Special occasion delivery was one day late,Special Requests,Immediate,Special Requests | Immediate
Custom color mix was incorrect,Special Requests,Medium,Special Requests | Medium
Requested call on arrival never came,Special Requests,High,Special Requests | High
Gift wrapping damaged collectible item,Special Requests,Low,Special Requests | Low
Driver ignored 'no safe drop location' note,Special Requests,Immediate,Special Requests | Immediate
Personalized message was truncated,Special Requests,Medium,Special Requests | Medium
Delivery came before requested surprise time,Special Requests,High,Special Requests | High
Special font request defaulted to basic,Special Requests,Immediate,Special Requests | Immediate
Hand-painted item had smudges,Special Requests,Medium,Special Requests | Medium
Gift note ink smeared easily,Special Requests,High,Special Requests | High
Requested discreet shipping showed contents,Special Requests,Low,Special Requests | Low
Custom sizing chart was inaccurate,Special Requests,Immediate,Special Requests | Immediate
Delivery left at vacant neighbor's house,Special Requests,Medium,Special Requests | Medium
Personalized coordinates were reversed,Special Requests,High,Special Requests | High
Special handling instructions were ignored,Special Requests,Immediate,Special Requests | Immediate
Gift message card was bent,Special Requests,Medium,Special Requests | Medium
Driver didn't use provided gate remote,Special Requests,High,Special Requests | High
Requested vegan ink contained animal products,Special Requests,Low,Special Requests | Low
Custom embroidery missed stitches,Special Requests,Immediate,Special Requests | Immediate
Delivery arrived after birthday passed,Special Requests,Medium,Special Requests | Medium
Special occasion card was generic,Special Requests,High,Special Requests | High
Personalized dates used wrong format,Special Requests,Immediate,Special Requests | Immediate
Gift packaging crushed corners,Special Requests,Medium,Special Requests | Medium
Requested signature was forged,Special Requests,High,Special Requests | High
Handwritten note was printed font,Special Requests,Low,Special Requests | Low
Custom engraving was off-center,Special Requests,Immediate,Special Requests | Immediate
Delivery left outside security gate,Special Requests,Medium,Special Requests | Medium
Special instructions were in order notes only,Special Requests,High,Special Requests | High
Gift message arrived after package,Special Requests,Immediate,Special Requests | Immediate
