Complaint,Category
I'm unable to checkout because the Confirm button is grayed out.,Technical Issues
The checkout button is not responding when I login on my Android device.,Technical Issues
I'm unable to upload a photo because the Submit button is grayed out.,Technical Issues
"The live chat is completely down, I keep getting 503 Service Unavailable.",Technical Issues
The checkout button is not responding when I add to cart on my iPhone 13.,Technical Issues
The checkout page shows a blank screen instead of loading the items.,Technical Issues
My wishlist keeps disappearing after I view my history.,Technical Issues
My wishlist keeps disappearing after I login.,Technical Issues
"The search functionality is completely down, I keep getting Gateway Timeout.",Technical Issues
I keep getting logged out automatically after place order on order summary.,Technical Issues
The order summary shows a blank screen instead of loading the product images.,Technical Issues
The shipping info shows a blank screen instead of loading the receipt.,Technical Issues
The order summary shows a blank screen instead of loading the receipt.,Technical Issues
The search bar is not responding when I view my history on my Macbook.,Technical Issues
"The checkout process is completely down, I keep getting 500 Internal Server Error.",Technical Issues
I'm getting a 'Database Error' error when I try to login on the tablet view.,Technical Issues
I'm unable to apply a coupon because the Save Changes button is grayed out.,Technical Issues
I'm getting a 'Database Error' error when I try to upload a photo on the mobile app.,Technical Issues
The cart icon is not responding when I apply a coupon on my iPhone 13.,Technical Issues
I keep getting logged out automatically after login on profile page.,Technical Issues
The checkout page shows a blank screen instead of loading the product images.,Technical Issues
I'm getting a 'Gateway Timeout' error when I try to checkout on the tablet view.,Technical Issues
I'm unable to view my history because the Place Order button is grayed out.,Technical Issues
My payment failed with error '503 Service Unavailable' even though I used a valid card.,Technical Issues
My payment methods keeps disappearing after I login.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to login on the tablet view.,Technical Issues
My wishlist keeps disappearing after I place order.,Technical Issues
"The search bar isn't working, it just shows a spinning spinner.",Technical Issues
"The search functionality is completely down, I keep getting 500 Internal Server Error.",Technical Issues
The app crashes every time I open the orders.,Technical Issues
I keep getting logged out automatically after place order on shipping info.,Technical Issues
I keep getting logged out automatically after checkout on order summary.,Technical Issues
I'm unable to place order because the Confirm button is grayed out.,Technical Issues
"The search functionality is completely down, I keep getting 404 Not Found.",Technical Issues
"The password reset link is completely down, I keep getting Connection Reset.",Technical Issues
My shopping cart items keeps disappearing after I place order.,Technical Issues
I'm unable to apply a coupon because the Place Order button is grayed out.,Technical Issues
The payment option is not responding when I apply a coupon on my Macbook.,Technical Issues
"The checkout process is completely down, I keep getting Gateway Timeout.",Technical Issues
"The search bar isn't working, it just shows a stuck spinner.",Technical Issues
The search bar is not responding when I add to cart on my Macbook.,Technical Issues
I'm unable to apply a coupon because the Confirm button is grayed out.,Technical Issues
My saved addresses keeps disappearing after I apply a coupon.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to update my profile on the website.,Technical Issues
I keep getting logged out automatically after view my history on checkout page.,Technical Issues
I'm unable to add to cart because the Place Order button is grayed out.,Technical Issues
I'm unable to place order because the Save Changes button is grayed out.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to upload a photo on the tablet view.,Technical Issues
I keep getting logged out automatically after login on checkout page.,Technical Issues
I'm unable to checkout because the Place Order button is grayed out.,Technical Issues
The cart icon is not responding when I place order on my Windows laptop.,Technical Issues
I'm getting a '503 Service Unavailable' error when I try to add to cart on the desktop app.,Technical Issues
I'm unable to update my profile because the Submit button is grayed out.,Technical Issues
I'm getting a 'Database Error' error when I try to view my history on the tablet view.,Technical Issues
I'm getting a '503 Service Unavailable' error when I try to checkout on the tablet view.,Technical Issues
I keep getting logged out automatically after view my history on order summary.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to apply a coupon on the mobile app.,Technical Issues
I'm getting a '404 Not Found' error when I try to add to cart on the desktop app.,Technical Issues
The app crashes every time I open the profile settings.,Technical Issues
I keep getting logged out automatically after add to cart on profile page.,Technical Issues
My saved addresses keeps disappearing after I update my profile.,Technical Issues
I'm getting a 'Gateway Timeout' error when I try to upload a photo on the website.,Technical Issues
I'm unable to upload a photo because the Place Order button is grayed out.,Technical Issues
I'm unable to checkout because the Submit button is grayed out.,Technical Issues
I'm unable to login because the Save Changes button is grayed out.,Technical Issues
I'm getting a 'Gateway Timeout' error when I try to place order on the tablet view.,Technical Issues
I'm unable to upload a photo because the Save Changes button is grayed out.,Technical Issues
The order summary shows a blank screen instead of loading the account details.,Technical Issues
"The live chat is completely down, I keep getting 404 Not Found.",Technical Issues
I'm getting a '503 Service Unavailable' error when I try to login on the tablet view.,Technical Issues
The shipping info shows a blank screen instead of loading the account details.,Technical Issues
I'm getting a 'Database Error' error when I try to apply a coupon on the tablet view.,Technical Issues
"The search functionality is completely down, I keep getting 503 Service Unavailable.",Technical Issues
I keep getting logged out automatically after checkout on profile page.,Technical Issues
The profile picture is not responding when I view my history on my iPhone 13.,Technical Issues
"The checkout process is completely down, I keep getting 503 Service Unavailable.",Technical Issues
My wishlist keeps disappearing after I checkout.,Technical Issues
"The password reset link is completely down, I keep getting 404 Not Found.",Technical Issues
"The password reset link is completely down, I keep getting Database Error.",Technical Issues
The search bar is not responding when I upload a photo on my iPad.,Technical Issues
The search bar is not responding when I upload a photo on my Macbook.,Technical Issues
The cart icon is not responding when I upload a photo on my Macbook.,Technical Issues
"The search bar isn't working, it just shows a loading spinner.",Technical Issues
My shopping cart items keeps disappearing after I add to cart.,Technical Issues
I keep getting logged out automatically after view my history on shipping info.,Technical Issues
I keep getting logged out automatically after update my profile on profile page.,Technical Issues
"The checkout process is completely down, I keep getting Connection Reset.",Technical Issues
My payment methods keeps disappearing after I view my history.,Technical Issues
The cart icon is not responding when I view my history on my Android device.,Technical Issues
The profile page shows a blank screen instead of loading the receipt.,Technical Issues
My saved addresses keeps disappearing after I view my history.,Technical Issues
I keep getting logged out automatically after view my history on profile page.,Technical Issues
The shipping info shows a blank screen instead of loading the product images.,Technical Issues
The profile page shows a blank screen instead of loading the items.,Technical Issues
My payment failed with error 'Gateway Timeout' even though I used a valid card.,Technical Issues
My payment failed with error 'Connection Reset' even though I used a valid card.,Technical Issues
I'm getting a '404 Not Found' error when I try to checkout on the tablet view.,Technical Issues
The checkout page shows a blank screen instead of loading the receipt.,Technical Issues
The payment option is not responding when I update my profile on my iPhone 13.,Technical Issues
I'm unable to update my profile because the Confirm button is grayed out.,Technical Issues
The checkout page shows a blank screen instead of loading the account details.,Technical Issues
The payment option is not responding when I update my profile on my Android device.,Technical Issues
I'm getting a '503 Service Unavailable' error when I try to place order on the desktop app.,Technical Issues
I'm unable to add to cart because the Save Changes button is grayed out.,Technical Issues
I keep getting logged out automatically after apply a coupon on shipping info.,Technical Issues
I'm getting a '404 Not Found' error when I try to update my profile on the website.,Technical Issues
I'm getting a '404 Not Found' error when I try to login on the website.,Technical Issues
I keep getting logged out automatically after login on order summary.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to apply a coupon on the tablet view.,Technical Issues
The app crashes every time I open the cart.,Technical Issues
My payment methods keeps disappearing after I checkout.,Technical Issues
The profile picture is not responding when I apply a coupon on my iPhone 13.,Technical Issues
My shopping cart items keeps disappearing after I view my history.,Technical Issues
"The live chat is completely down, I keep getting Database Error.",Technical Issues
My payment failed with error '500 Internal Server Error' even though I used a valid card.,Technical Issues
My payment failed with error '404 Not Found' even though I used a valid card.,Technical Issues
I'm getting a '503 Service Unavailable' error when I try to apply a coupon on the tablet view.,Technical Issues
I'm getting a 'Connection Reset' error when I try to view my history on the website.,Technical Issues
I keep getting logged out automatically after add to cart on shipping info.,Technical Issues
"The live chat is completely down, I keep getting Gateway Timeout.",Technical Issues
The app crashes every time I open the checkout.,Technical Issues
My payment methods keeps disappearing after I apply a coupon.,Technical Issues
The profile picture is not responding when I view my history on my Macbook.,Technical Issues
I'm getting a '500 Internal Server Error' error when I try to place order on the website.,Technical Issues
I keep getting logged out automatically after apply a coupon on profile page.,Technical Issues
I'm unable to update my profile because the Place Order button is grayed out.,Technical Issues
I'm unable to checkout because the Save Changes button is grayed out.,Technical Issues
My account was accessed from a suspicious location in China.,Security and Privacy
"I received a phishing email that appeared to be from your company, requesting my credit card details.",Security and Privacy
"I received a phishing email that appeared to be from your company, requesting my home address.",Security and Privacy
I received a login attempt notification for a iPhone I don't own.,Security and Privacy
My account was accessed from a suspicious location in Russia.,Security and Privacy
I'm worried about the safety of my profile data on your servers.,Security and Privacy
I received a login attempt notification for a tablet I don't own.,Security and Privacy
I received a login attempt notification for a Android phone I don't own.,Security and Privacy
"I received a phishing email that appeared to be from your company, requesting my password.",Security and Privacy
My personal information was modified without my permission.,Security and Privacy
My account was accessed from a suspicious location in a foreign country.,Security and Privacy
"The site does not use HTTPS on the checkout page, which is a security risk.",Security and Privacy
My account was accessed from a suspicious location in Nigeria.,Security and Privacy
The password reset link was sent to an unknown email address.,Security and Privacy
I noticed suspicious activity in my order records.,Security and Privacy
I'm worried about the safety of my order data on your servers.,Security and Privacy
"I found unauthorized charges on my card, and I suspect a keylogger.",Security and Privacy
My personal information was leaked without my permission.,Security and Privacy
"The site does not use HTTPS on the payment gateway, which is a security risk.",Security and Privacy
I'm worried about the safety of my account data on your servers.,Security and Privacy
I noticed suspicious activity in my account records.,Security and Privacy
I'm worried about the safety of my transaction data on your servers.,Security and Privacy
I received a login attempt notification for a Windows laptop I don't own.,Security and Privacy
"I found unauthorized charges on my card, and I suspect a phishing attack.",Security and Privacy
I noticed suspicious activity in my transaction records.,Security and Privacy
"The site does not use HTTPS on the login page, which is a security risk.",Security and Privacy
"I received a phishing email that appeared to be from your company, requesting my date of birth.",Security and Privacy
"I found unauthorized charges on my card, and I suspect a data breach.",Security and Privacy
I noticed suspicious activity in my profile records.,Security and Privacy
My account was accessed from a suspicious location in Brazil.,Security and Privacy
My personal information was sold to a third party without my permission.,Security and Privacy
"I found unauthorized charges on my card, and I suspect a hacked account.",Security and Privacy
I was charged for a subscription I already cancelled.,Subscriptions
I want a refund for the last 6 months of subscription fees.,Subscriptions
My subscription was renewed automatically despite me never signed up for.,Subscriptions
"I'm trying to upgrade my family plan, but the website is stuck.",Subscriptions
I cannot find the option to cancel my yearly subscription.,Subscriptions
I cannot find the option to cancel my premium subscription.,Subscriptions
I cannot find the option to cancel my basic subscription.,Subscriptions
I was charged twice for the same subscription period.,Subscriptions
I did not receive the free shipping promised in my subscription plan.,Subscriptions
I want a refund for the last 3 months of subscription fees.,Subscriptions
The subscription price was increased without email notice.,Subscriptions
I was not notified before my subscription expired.,Subscriptions
I did not receive the exclusive content promised in my subscription plan.,Subscriptions
The subscription price was increased without reasonable notice.,Subscriptions
The subscription price was increased without proper notice.,Subscriptions
"I'm trying to upgrade my premium plan, but the website is stuck.",Subscriptions
My subscription was renewed automatically despite me asked to pause.,Subscriptions
I cannot find the option to cancel my family subscription.,Subscriptions
"I'm trying to upgrade my yearly plan, but the website is stuck.",Subscriptions
I was charged for a subscription I asked to pause.,Subscriptions
I did not receive the discounted prices promised in my subscription plan.,Subscriptions
"I'm trying to upgrade my basic plan, but the website is stuck.",Subscriptions
The subscription price was increased without any notice.,Subscriptions
My subscription was renewed automatically despite me already cancelled.,Subscriptions
I want a refund for the last 12 months of subscription fees.,Subscriptions
I was charged for a subscription I never signed up for.,Subscriptions
My personal information was deleted without my permission.,Security and Privacy
"I found unauthorized charges on my card, and I suspect a ransomware.",Security and Privacy
I keep getting phishing attack attempts on my account.,Security and Privacy
I keep getting data breach attempts on my account.,Security and Privacy
Someone tried to change my email address without my authorization.,Security and Privacy
I received a login attempt notification for a desktop I don't own.,Security and Privacy
I keep getting keylogger attempts on my account.,Security and Privacy
I keep getting hacked account attempts on my account.,Security and Privacy
"I received a phishing email that appeared to be from your company, requesting my security question answer.",Security and Privacy
My account was accessed from a suspicious location in an unknown IP address.,Security and Privacy
I'm worried about the safety of my billing data on your servers.,Security and Privacy
"The site does not use HTTPS on the registration form, which is a security risk.",Security and Privacy
I noticed suspicious activity in my billing records.,Security and Privacy
I keep getting ransomware attempts on my account.,Security and Privacy
"I want to change my payment method for the subscription, but it fails.",Subscriptions
I cannot find the option to cancel my monthly subscription.,Subscriptions
I was charged for a subscription I already requested a refund.,Subscriptions
I did not receive the priority support promised in my subscription plan.,Subscriptions
I want a refund for the last 1 months of subscription fees.,Subscriptions
My subscription was renewed automatically despite me already requested a refund.,Subscriptions
"I'm trying to upgrade my monthly plan, but the website is stuck.",Subscriptions
The subscription price was increased without explicit notice.,Subscriptions
